sExpr,Sharpe,Ret,TO,Margin,DD,DD_Len,MRate,AdjTO,LSharpe,SSharpe,LRet,SRet,LMrate,SMrate,LSB,totalSortPnlRatio,sectorSortPnlRatio,groupSortPnlRatio,groupTopPnlRatio
"SST_TM40Test1_181_14835::-sub(ts_norm(x2,555),ts_norm(x1,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20120702::20190701",0.182889774441719,1.12956690788269,3.41218686103821,1.9449999332428,0.0447517186403275,153,0.469647288322449,7.26542472839355,0.109341725707054,0.111414708197117,0.583851158618927,0.545715689659119,0.157577395439148,0.153282195329666,0.0042952001094818,0.775358319282532,1.55870473384857,4.383713722229,0.149046167731285
"SST_TM40Test1_181_20871::ts_norm(div(ts_norm(x2,555),abs(ts_std(x1,555))),900);2 TCFBaseClean 3 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20120405::20190401",0.185283213853836,1.29623818397522,4.55302762985229,1.67371010780334,0.0461426042020321,80,0.516624569892883,8.81302833557129,0.105037786066532,0.120148688554764,0.578711628913879,0.717526376247406,0.163976207375526,0.165078893303871,-0.0011026859283447,0.719342589378357,1.44687247276306,4.23160791397095,0.12706233561039
"SST_TM40Test1_181_37147::power_(ts_norm(div(ts_detrend(x2,4),abs(x1)),1110),0.5);2 TCFBaseClean 7 TCFBaseClean 1::ma_1 20::ema1_1 0.003000000119::no_neu::general_nor::20110401::20180402",0.111685119569302,0.964253187179565,2.40713143348694,2.35221314430237,0.0748841986060143,144,0.503017961978912,4.78537845611572,0.0658274218440056,0.0817465558648109,0.422636866569519,0.541616261005402,0.143411502242088,0.157677531242371,-0.0142660290002823,1.20802092552185,2.20808529853821,5.5121898651123,0.143161699175835
"SST_TM40Test1_181_45348::power_(mul(ts_sub_mean(div(ts_detrend(x3,3),abs(ts_std(x2,60))),1110),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 2 TCFBaseClean 1::ma_1 225::ema1_1 0.09000000715::no_neu::general_nor::20110401::20180402",0.107577100396156,0.711874604225159,2.24285483360291,1.8637501001358,0.0545755065977573,170,0.418089419603348,5.3645339012146,0.0720703303813934,0.0652879774570465,0.416735142469406,0.29513955116272,0.124907411634922,0.127478569746017,-0.0025711581110954,1.24172413349152,2.30800986289978,5.49364280700684,0.115707240998745
"SST_TM40Test1_181_9337::sign(div(sub(ts_avg(x2,300),ts_avg(x2,1665)),abs(ts_std(x1,1110))));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 120::ema1_1 1::no_neu::general_nor::20120405::20190401",0.0990759506821632,0.78021514415741,1.48763740062714,3.08328008651733,0.0832908600568771,225,0.54478931427002,2.73066568374634,0.0733192414045334,0.0533569268882275,0.44441157579422,0.335803508758545,0.171645164489746,0.173739328980446,-0.0020941644906997,1.35390198230743,3.05523014068604,7.1015772819519,0.263878792524338
"SST_TM40Test1_181_20871::ts_norm(div(ts_norm(x2,555),abs(ts_std(x1,555))),900);2 TCFBaseClean 3 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20131008::20201009",0.199059695005417,1.34678256511688,4.97646284103394,1.58448767662048,0.0229717493057251,62,0.517345607280731,9.61922264099121,0.111763849854469,0.125031381845474,0.620733141899109,0.726049482822418,0.175658464431763,0.177927449345589,-0.0022689849138259,0.692715346813202,1.38032925128937,4.11313056945801,0.113342978060246
"SST_TM40Test1_181_12062::ts_norm(mul(ts_detrend(x1,2),abs(ts_detrend(x2,2))),900);2 TCFBaseClean 4 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20130701::20200701",0.209396049380302,1.4749014377594,3.22013807296753,2.68478465080261,0.0285409688949585,36,0.516805529594421,6.23085069656372,0.142515614628792,0.118282467126846,0.746358573436737,0.728543221950531,0.174952790141106,0.175479725003242,-0.0005269348621368,0.718097388744354,1.41030657291412,3.67211127281189,0.118335098028183
"SST_TM40Test1_181_44083::power_(mul(ts_sub_mean(div(ts_detrend(x2,2),abs(ts_std(x1,60))),1665),ts_avg(x1,100)),0.5);2 TCFBaseClean 6 TCFBaseClean 1::ma_1 20::ema1_1 0.008100001287::no_neu::general_nor::20131008::20201009",0.143885344266891,1.19936990737915,4.46132326126099,1.57398855686188,0.0817068815231323,193,0.505702376365662,8.82203388214111,0.12213160097599,0.0626284331083298,0.739388346672058,0.459981381893158,0.157633364200592,0.173961073160172,-0.0163277089595795,0.999350547790527,1.92180716991425,4.58027029037476,0.106072083115578
"SST_TM40Test1_181_24198::power_(mul(ts_sub_mean(div(ts_detrend(x3,2),abs(ts_std(x2,180))),1600),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 2 TCFBaseClean 1::ma_1 20::ema1_1 0.008100001287::no_neu::general_nor::20110401::20180402",0.157044962048531,1.08650398254395,3.5186653137207,1.8131707906723,0.056886151432991,170,0.461014449596405,7.6324405670166,0.104669883847237,0.093996986746788,0.590025365352631,0.496478736400604,0.141354754567146,0.144461914896965,-0.0031071603298187,0.872058153152466,1.63022112846375,4.20865154266357,0.117914453148842
"SST_TM40Test1_181_533::sign(ts_detrend(x1,2));1 TCFBaseClean 1::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20120104::20190102",0.140572726726532,0.815941691398621,2.95835161209106,1.6214554309845,0.0694323182106018,259,0.51904433965683,5.69961261749268,0.0801703333854675,0.0827442482113838,0.342962890863419,0.472978591918945,0.134162798523903,0.182071685791016,-0.0479088872671127,1.01486122608185,1.9959009885788,5.8166298866272,0.171842500567436
"SST_TM40Test1_181_14835::-sub(ts_norm(x2,555),ts_norm(x1,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20130401::20200401",0.175944358110428,1.10068488121033,3.65674734115601,1.76643824577332,0.0302460193634033,129,0.486264795064926,7.52007436752319,0.0975554510951042,0.114402242004871,0.521779656410217,0.57890522480011,0.166551291942596,0.163665890693665,0.0028854012489318,0.808095812797546,1.61057138442993,4.63047027587891,0.161689549684525
"SST_TM40Test1_181_20830::-rsi(ts_detrend(x2,10),ts_detrend(x1,10));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20111010::20181008",0.103569447994232,0.718021988868713,1.46273159980774,2.88581705093384,0.0564671605825424,133,0.507428705692291,2.88263463973999,0.0625307261943817,0.0633665695786476,0.348923474550247,0.369098603725433,0.146674931049347,0.148541435599327,-0.0018665045499801,1.319659948349,2.71538972854614,6.90905618667603,0.265526920557022
"SST_TM40Test1_181_14017::rsi(ts_detrend(x1,6),ts_detrend(x2,6));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 60::ema1_1 0.01::no_neu::general_nor::20130104::20200102",0.156991526484489,1.04677557945251,3.38241767883301,1.81830513477325,0.0625737905502319,147,0.51169627904892,6.61020612716675,0.0785539597272873,0.111042119562626,0.429015278816223,0.617759823799133,0.166838437318802,0.167622312903404,-0.0007838755846023,0.849261403083801,1.88763153553009,5.19614791870117,0.12761028110981
"SST_TM40Test1_181_49016::power_(mul(ts_sub_mean(div(ts_detrend(x3,1),abs(ts_avg(x2,180))),1665),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 3 TCFBaseClean 1::ma_1 120::ema1_1 0.02700000322::no_neu::general_nor::20110104::20180102",0.108129449188709,0.93947046995163,2.67718815803528,2.06179118156433,0.0892743170261383,182,0.511852502822876,5.23038959503174,0.0718181133270264,0.0701574683189392,0.472191095352173,0.467279464006424,0.142117604613304,0.151696979999542,-0.0095793753862381,1.22022271156311,2.16412496566772,5.43325853347778,0.1147421002388
"SST_TM40Test1_181_9337::sign(div(sub(ts_avg(x2,300),ts_avg(x2,1665)),abs(ts_std(x1,1110))));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 120::ema1_1 1::no_neu::general_nor::20120104::20190102",0.0992010608315468,0.779514789581299,1.46688210964203,3.12409925460815,0.0832908600568771,225,0.542397081851959,2.70444321632385,0.0736481845378876,0.0532288625836372,0.445266872644424,0.334248006343842,0.168053805828094,0.170357123017311,-0.0023033171892166,1.34519290924072,3.05998730659485,7.01348352432251,0.254416674375534
