sExpr,Sharpe,Ret,TO,Margin,DD,DD_Len,MRate,AdjTO,LSharpe,SSharpe,LRet,SRet,LMrate,SMrate,LSB,totalSortPnlRatio,sectorSortPnlRatio,groupSortPnlRatio,groupTopPnlRatio
"SST_TM40Test1_181_14835::-sub(ts_norm(x2,555),ts_norm(x1,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20120702::20190701",0.112028606235981,0.134687662124634,3.87597751617432,0.944275498390198,0.0302459392696619,129,0.510366439819336,7.59449911117554,0.0930089130997658,0.0377996191382408,0.0945873856544495,0.0401002988219261,0.172761112451553,0.160833075642586,0.0119280368089676,1.18923151493073,2.5394012928009,7.98885583877563,0.300565332174301
"SST_TM40Test1_181_20871::ts_norm(div(ts_norm(x2,555),abs(ts_std(x1,555))),900);2 TCFBaseClean 3 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20120405::20190401",0.133259654045105,0.22262042760849,4.99326276779175,1.04168593883514,0.0337732136249542,65,0.517740786075592,9.64433002471924,0.0932151153683662,0.0678757280111313,0.127768784761429,0.0948516651988029,0.171075761318207,0.174275457859039,-0.0031996965408325,1.06889414787292,1.99844145774841,6.02823257446289,0.197299987077713
"SST_TM40Test1_181_37147::power_(ts_norm(div(ts_detrend(x2,4),abs(x1)),1110),0.5);2 TCFBaseClean 7 TCFBaseClean 1::ma_1 20::ema1_1 0.003000000119::no_neu::general_nor::20110401::20180402",0.0694757029414177,0.191192731261253,3.08957481384277,0.923629641532898,0.120076730847359,180,0.52595841884613,5.87418079376221,0.0676841214299202,0.0180076528340578,0.149852439761162,0.0413402654230595,0.175202399492264,0.182268276810646,-0.0070658773183822,1.90562868118286,3.87106966972351,11.0460109710693,0.185708120465279
"SST_TM40Test1_181_45348::power_(mul(ts_sub_mean(div(ts_detrend(x3,3),abs(ts_std(x2,60))),1110),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 2 TCFBaseClean 1::ma_1 225::ema1_1 0.09000000715::no_neu::general_nor::20110401::20180402",0.0590556301176548,0.266584515571594,2.55642461776733,1.55642104148865,0.152494043111801,166,0.396094471216202,6.45407819747925,0.0617655701935291,0.0398563332855701,0.0894727483391762,0.177111834287643,0.128633067011833,0.142148301005363,-0.0135152339935303,2.04086637496948,3.11712622642517,6.05341339111328,0.847769558429718
"SST_TM40Test1_181_9337::sign(div(sub(ts_avg(x2,300),ts_avg(x2,1665)),abs(ts_std(x1,1110))));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 120::ema1_1 1::no_neu::general_nor::20120405::20190401",0.0707799047231674,0.133064940571785,1.4623110294342,2.12608242034912,0.0549833998084068,95,0.518365442752838,2.82100415229797,0.104454346001148,-0.0075312829576432,0.145041525363922,-0.011976569890976,0.173123255372047,0.170318350195885,0.0028049051761627,1.77487862110138,3.86398100852966,10.5417203903198,0.338909536600113
"SST_TM40Test1_181_20871::ts_norm(div(ts_norm(x2,555),abs(ts_std(x1,555))),900);2 TCFBaseClean 3 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20131008::20201009",-0.0246298238635063,-0.0049432883970439,5.46879434585571,-0.153204783797264,0.0317887850105762,53,0.527691304683685,10.3636245727539,0.224441930651665,-0.180484026670456,0.0291480589658022,-0.0340913534164429,0.181876197457314,0.191498100757599,-0.0096219033002853,-4.84546995162964,-11.7876567840576,-36.5593643188477,-2.26668238639832
"SST_TM40Test1_181_12062::ts_norm(mul(ts_detrend(x1,2),abs(ts_detrend(x2,2))),900);2 TCFBaseClean 4 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20130701::20200701",0.080835148692131,0.0312692373991013,3.63238644599915,0.688676416873932,0.0315778329968452,58,0.530066728591919,6.85269689559937,0.229909732937813,-0.1325643658638,0.0776862725615501,-0.0464170351624489,0.197457134723663,0.176218867301941,0.0212382674217224,1.48916029930115,3.93708920478821,12.299015045166,0.812193870544434
"SST_TM40Test1_181_44083::power_(mul(ts_sub_mean(div(ts_detrend(x2,2),abs(ts_std(x1,60))),1665),ts_avg(x1,100)),0.5);2 TCFBaseClean 6 TCFBaseClean 1::ma_1 20::ema1_1 0.008100001287::no_neu::general_nor::20131008::20201009",0.0023906431160867,0.00040580984205,5.1462550163269,0.0133653171360493,0.0161084160208702,53,0.524263143539429,9.8161678314209,0.0632623434066772,-0.0631386041641235,0.0104915499687195,-0.0100857391953468,0.176350265741348,0.180581107735634,-0.0042308419942855,33.7867546081543,112.695014953613,437.810638427734,30.775463104248
"SST_TM40Test1_181_24198::power_(mul(ts_sub_mean(div(ts_detrend(x3,2),abs(ts_std(x2,180))),1600),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 2 TCFBaseClean 1::ma_1 20::ema1_1 0.008100001287::no_neu::general_nor::20110401::20180402",0.0329373627901077,0.165960386395454,3.03672623634338,0.815687835216522,0.230929404497147,166,0.359819293022156,8.43958759307861,0.0766521841287613,0.0121121630072594,0.105058699846268,0.0609017461538315,0.113292388617992,0.134761825203896,-0.0214694365859032,3.08040618896484,4.63632392883301,9.33059024810791,0.16083687543869
"SST_TM40Test1_181_533::sign(ts_detrend(x1,2));1 TCFBaseClean 1::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20120104::20190102",0.0638215094804764,0.0873122364282608,3.26705551147461,0.549898266792297,0.0401825904846191,160,0.524782061576843,6.22554683685303,0.0955808386206627,-0.0191494282335043,0.114363044500351,-0.0270507670938969,0.15037077665329,0.198567226529121,-0.0481964498758316,1.93056988716125,4.48475217819214,14.657660484314,0.246903598308563
